lfc,names,ambiguousNames
SPDX,"[""Adobe-Glyph"",""Adobe Glyph List License""]",[]
SPDX,"[""Afmparse"",""Afmparse License""]",[]
SPDX,"[""Aladdin"",""Aladdin Free Public License""]",[]
SPDX,"[""Apache-1.0"",""Apache License 1.0""]",[]
SPDX,"[""Apache-1.1"",""Apache License 1.1""]",[]
SPDX,"[""Apache-2.0"",""Apache License 2.0""]",[]
SPDX,"[""Artistic-1.0"",""Artistic License 1.0""]",[]
SPDX,"[""Artistic-1.0-Perl"",""Artistic License 1.0 (Perl)""]",[]
SPDX,"[""Artistic-1.0-cl8"",""Artistic License 1.0 w/clause 8""]",[]
SPDX,"[""Artistic-2.0"",""Artistic License 2.0""]",[]
SPDX,"[""BSD-1-Clause"",""BSD 1-Clause License""]",[]
SPDX,"[""BSD-2-Clause"",""BSD 2-Clause \""Simplified\"" License""]",[]
SPDX,"[""BSD-2-Clause-Patent"",""BSD-2-Clause Plus Patent License""]",[]
SPDX,"[""BSD-2-Clause-Views"",""BSD 2-Clause with views sentence""]",[]
SPDX,"[""BSD-3-Clause"",""BSD 3-Clause \""New\"" or \""Revised\"" License""]",[]
SPDX,"[""BSD-3-Clause-Attribution"",""BSD with attribution""]",[]
SPDX,"[""BSD-3-Clause-Clear"",""BSD 3-Clause Clear License""]",[]
SPDX,"[""BSD-3-Clause-LBNL"",""Lawrence Berkeley National Labs BSD variant license""]",[]
SPDX,"[""BSD-3-Clause-No-Nuclear-License"",""BSD 3-Clause No Nuclear License""]",[]
SPDX,"[""BSD-3-Clause-No-Nuclear-License-2014"",""BSD 3-Clause No Nuclear License 2014""]",[]
SPDX,"[""BSD-3-Clause-No-Nuclear-Warranty"",""BSD 3-Clause No Nuclear Warranty""]",[]
SPDX,"[""BSD-3-Clause-Open-MPI"",""BSD 3-Clause Open MPI variant""]",[]
SPDX,"[""BSD-4-Clause"",""BSD 4-Clause \""Original\"" or \""Old\"" License""]",[]
SPDX,"[""BSD-4-Clause-UC"",""BSD-4-Clause (University of California-Specific)""]",[]
SPDX,"[""BSD-Protection"",""BSD Protection License""]",[]
SPDX,"[""BSD-Source-Code"",""BSD Source Code Attribution""]",[]
SPDX,"[""BSL-1.0"",""Boost Software License 1.0""]",[]
SPDX,"[""Bahyph"",""Bahyph License""]",[]
SPDX,"[""Barr"",""Barr License""]",[]
SPDX,"[""Beerware"",""Beerware License""]",[]
SPDX,"[""BitTorrent-1.0"",""BitTorrent Open Source License v1.0""]",[]
SPDX,"[""BitTorrent-1.1"",""BitTorrent Open Source License v1.1""]",[]
SPDX,"[""BlueOak-1.0.0"",""Blue Oak Model License 1.0.0""]",[]
SPDX,"[""Borceux"",""Borceux license""]",[]
SPDX,"[""CAL-1.0"",""Cryptographic Autonomy License 1.0""]",[]
SPDX,"[""CAL-1.0-Combined-Work-Exception"",""Cryptographic Autonomy License 1.0 (Combined Work Exception)""]",[]
SPDX,"[""CATOSL-1.1"",""Computer Associates Trusted Open Source License 1.1""]",[]
SPDX,"[""CC-BY-1.0"",""Creative Commons Attribution 1.0 Generic""]",[]
SPDX,"[""CC-BY-2.0"",""Creative Commons Attribution 2.0 Generic""]",[]
SPDX,"[""CC-BY-2.5"",""Creative Commons Attribution 2.5 Generic""]",[]
SPDX,"[""CC-BY-3.0"",""Creative Commons Attribution 3.0 Unported""]",[]
SPDX,"[""CC-BY-3.0-AT"",""Creative Commons Attribution 3.0 Austria""]",[]
SPDX,"[""CC-BY-3.0-US"",""Creative Commons Attribution 3.0 United States""]",[]
SPDX,"[""CC-BY-4.0"",""Creative Commons Attribution 4.0 International""]",[]
SPDX,"[""CC-BY-NC-1.0"",""Creative Commons Attribution Non Commercial 1.0 Generic""]",[]
SPDX,"[""CC-BY-NC-2.0"",""Creative Commons Attribution Non Commercial 2.0 Generic""]",[]
SPDX,"[""CC-BY-NC-2.5"",""Creative Commons Attribution Non Commercial 2.5 Generic""]",[]
SPDX,"[""CC-BY-NC-3.0"",""Creative Commons Attribution Non Commercial 3.0 Unported""]",[]
SPDX,"[""CC-BY-NC-4.0"",""Creative Commons Attribution Non Commercial 4.0 International""]",[]
SPDX,"[""CC-BY-NC-ND-1.0"",""Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic""]",[]
SPDX,"[""CC-BY-NC-ND-2.0"",""Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic""]",[]
SPDX,"[""CC-BY-NC-ND-2.5"",""Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic""]",[]
SPDX,"[""CC-BY-NC-ND-3.0"",""Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported""]",[]
SPDX,"[""CC-BY-NC-ND-3.0-IGO"",""Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO""]",[]
SPDX,"[""CC-BY-NC-ND-4.0"",""Creative Commons Attribution Non Commercial No Derivatives 4.0 International""]",[]
SPDX,"[""CC-BY-NC-SA-1.0"",""Creative Commons Attribution Non Commercial Share Alike 1.0 Generic""]",[]
SPDX,"[""CC-BY-NC-SA-2.0"",""Creative Commons Attribution Non Commercial Share Alike 2.0 Generic""]",[]
SPDX,"[""CC-BY-NC-SA-2.5"",""Creative Commons Attribution Non Commercial Share Alike 2.5 Generic""]",[]
SPDX,"[""CC-BY-NC-SA-3.0"",""Creative Commons Attribution Non Commercial Share Alike 3.0 Unported""]",[]
SPDX,"[""CC-BY-NC-SA-4.0"",""Creative Commons Attribution Non Commercial Share Alike 4.0 International""]",[]
SPDX,"[""CC-BY-ND-1.0"",""Creative Commons Attribution No Derivatives 1.0 Generic""]",[]
SPDX,"[""CC-BY-ND-2.0"",""Creative Commons Attribution No Derivatives 2.0 Generic""]",[]
