Full Name,FSF Free?,Upstream URL,Notes
DIP SIPA Font License,NO,https://fedoraproject.org/wiki/Licensing/DIP_SIPA_Font_License,Restrictions on modification
Larabie Fonts License,NO,https://fedoraproject.org/wiki/Licensing/LarabieFontsLicense,Cannot modify
Literat Font License,NO,https://fedoraproject.org/wiki/Licensing/LiteratFontLicense,Cannot modify
Ubuntu Font License,NO,https://fedoraproject.org/wiki/Licensing/UbuntuFontLicense,"Poorly written, cannot actually use fonts"
