Full Name,FSF Free?,Upstream URL,Notes
CAcert Non-Related Persons Disclaimer and License,No,http://www.cacert.org/policy/NRPDisclaimerAndLicence.php,No permission to redistribute
Creative Commons Attribution-NonCommercial-NoDerivs,No,http://creativecommons.org/licenses/by-nc-nd/4.0/,
Creative Commons Attribution-NonCommercial,No,http://creativecommons.org/licenses/by-nc/4.0/,
Creative Commons Attribution-NonCommercial-ShareAlike,No,http://creativecommons.org/licenses/by-nc-sa/4.0/,
Creative Commons Sampling Plus 1.0,No,http://creativecommons.org/licenses/sampling+/1.0/legalcode,
LinuxTag Yellow OpenMusic License,No,http://openmusic.linuxtag.org/yellow.html,Commercial use restrictions
