,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIT","mit","Expat","osi:MIT","MIT License","mit-license","scancode:mit","Expat License","scancode://mit","The MIT License","MIT/Expat License","MIT license (also X11)","MIT license / X11 license","License :: OSI Approved :: MIT License",,,,,,,,,,,,,,,,,,
"CNRI-Python","CNRI Python 1.6","CNRI-Python-1.6","osi:CNRI-Python","CNRI-Python-1.6b1","CNRI Python License","scancode:cnri-python-1.6","scancode://cnri-python-1.6","CNRI LICENSE AGREEMENT FOR PYTHON 1.6.1","CNRI portion of the multi-part Python License","CNRI Open Source License Agreement (Python 1.6)","CNRI Open Source License Agreement (Python 1.6b1)","License :: OSI Approved :: Python License (CNRI Python License)",,,,,,,,,,,,,,,,,,,
"Artistic 2.0","Artistic-2.0","artistic-2.0","osi:Artistic-2.0","Artistic License 2.0","artistic-license-2.0","scancode:artistic-2.0","scancode://artistic-2.0","The Artistic License 2.0","osi:artistic-license-2.0","Artistic License (v. 2.0)","Artistic License, Version 2.0","License :: OSI Approved :: Artistic License",,,,,,,,,,,,,,,,,,,
"bsl1.0","BSL-1.0","bsl-1.0","BSL (v1)","Boost 1.0","BSL (v1.0)","osi:BSL-1.0","scancode:boost-1.0","scancode://boost-1.0","Boost Software License 1.0","Boost Software License - Version 1.0","Boost Software License 1.0 (BSL-1.0)",,,,,,,,,,,,,,,,,,,,
"NCSA","ncsa","osi:NCSA","uoi-ncsa","UIUC/NCSA","NCSA License","scancode:uoi-ncsa","scancode://uoi-ncsa","NCSA Open Source License","University of Illinois/NCSA Open Source License","The University of Illinois/NCSA Open Source License","License :: OSI Approved :: University of Illinois/NCSA Open Source License",,,,,,,,,,,,,,,,,,,,
"PSF-2.0","Python-2.0","osi:Python-2.0","scancode:python","scancode://python","Python License 2.0","scancode://psf-2.0","Python License, Version 2.0","Python Software Foundation License 2","Python Software Foundation License 2.0","PYTHON SOFTWARE FOUNDATION LICENSE VERSION 2","License :: OSI Approved :: Python Software Foundation License",,,,,,,,,,,,,,,,,,,,
"CECILL-2.1","CeCILL 2.1","CeCILL-2.1","cecill-2.1","osi:CECILL-2.1","CeCILL License 2.1","scancode:cecill-2.1","scancode://cecill-2.1","CeCILL Free Software License Agreement 2.1","CeCILL Free Software License Agreement v2.1","Cea Cnrs Inria Logiciel Libre License, Version 2.1","License :: OSI Approved :: CEA CNRS Inria Logiciel Libre License, version 2.1 (CeCILL-2.1)",,,,,,,,,,,,,,,,,,,,
"BSD-4-Clause","BSD-Original","bsd-4-clause","BSD 4-Clause License","scancode:bsd-original","BSD License (original)","BSD-4-Clause-copyright","scancode://bsd-original","scancode:bsd-original-voices","BSD 4-Clause ""Original"" or ""Old"" License","BSD 4-Clause License (copyright variant)",,,,,,,,,,,,,,,,,,,,,
"ASL 1.1","Apache 1.1","Apache-1.1","Apache (v1.1)","osi:Apache-1.1","Apache License 1.1","scancode:apache-1.1","scancode:phorum-2.0","scancode://apache-1.1","Apache Software License 1.1","Apache Software License, Version 1.1",,,,,,,,,,,,,,,,,,,,,
"CPL","CPL 1.0","CPL-1.0","osi:CPL-1.0","scancode:cpl-0.5","scancode:cpl-1.0","scancode://cpl-1.0","Common Public License 1.0","Common Public License Version 1.0","Common Public License, Version 1.0","License :: OSI Approved :: Common Public License",,,,,,,,,,,,,,,,,,,,,
"W3C","osi:W3C","W3C License","scancode:w3c","scancode://w3c","W3C Software Notice and License","The W3C Software Notice and License","License :: OSI Approved :: W3C License","W3C Software Notice and License 20021231","W3C Software Notice and License (2002-12-31)","W3C Software Notice and License (became active on December 31 2002)",,,,,,,,,,,,,,,,,,,,,
"MPL 1.1","MPL-1.1","mozilla1.1","osi:MPL-1.1","scancode:dpl-1.1","scancode://mpl-1.1","scancode:monetdb-1.1","Mozilla Public License 1.1","Mozilla Public License Version 1.1","Mozilla Public License, Version 1.1","License :: OSI Approved :: Mozilla Public License 1.1 (MPL 1.1)",,,,,,,,,,,,,,,,,,,,,
"AFL 3.0","AFL-3.0","afl-3.0","osi:AFL-3.0","osi:afl-3.0","scancode:afl-3.0","scancode://afl-3.0","Academic Free License 3.0","Academic Free License v3.0","Academic Free License, Version 3.0","License :: OSI Approved :: Academic Free License (AFL)",,,,,,,,,,,,,,,,,,,,,
"MPL 2.0","MPL-2.0","mpl-2.0","mozilla2.0","osi:MPL-2.0","scancode:mpl-2.0","scancode://mpl-2.0","Mozilla Public License 2.0","Mozilla Public License Version 2.0","Mozilla Public License, Version 2.0","License :: OSI Approved :: Mozilla Public License 2.0 (MPL 2.0)",,,,,,,,,,,,,,,,,,,,,
"ISC","isc","osi:ISC","ISC License","ISC license","isc-license","scancode:isc","scancode://isc","ISC License (ISC)","License :: OSI Approved :: ISC License (ISCL)",,,,,,,,,,,,,,,,,,,,,,
"ecl2","ECL 2.0","ECL-2.0","ecl-2.0","osi:ECL-2.0","scancode:ecl-2.0","scancode://ecl-2.0","Educational Community License 2.0","Educational Community License v2.0","Educational Community License, Version 2.0",,,,,,,,,,,,,,,,,,,,,,
"nosl3.0","NPOSL 3.0","NPOSL-3.0","osi:NOSL3.0","osi:NPOSL-3.0","scancode:nosl-3.0","Non-Profit OSL 3.0","scancode://nosl-3.0","Non-Profit Open Software License 3.0","The Non-Profit Open Software License, Version 3.0",,,,,,,,,,,,,,,,,,,,,,
"QPL 1.0","QPL-1.0","osi:QPL-1.0","Q Public License","scancode:qpl-1.0","scancode://qpl-1.0","Q Public License 1.0","Q PUBLIC LICENSE version 1.0","The Q Public License Version (QPL-1.0)","License :: OSI Approved :: Qt Public License (QPL)",,,,,,,,,,,,,,,,,,,,,,
"cddl1","CDDL 1.0","CDDL-1.0","osi:cddl1","osi:CDDL-1.0","scancode:cddl-1.0","scancode://cddl-1.0","Common Development and Distribution License 1.0","Common Development and Distribution License, Version 1.0","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.0 governed by the laws of the State of California",,,,,,,,,,,,,,,,,,,,,,
"OFL 1.1","OFL-1.1","ofl-1.1","osi:OFL-1.1","scancode:ofl-1.1","scancode://ofl-1.1","Open Font License 1.1","SIL Open Font License 1.1","SIL Open Font License, Version 1.1","SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007",,,,,,,,,,,,,,,,,,,,,,
"ICU","X11","ICU License","X11 License","scancode://x11","scancode:slf4j-2005","X11-Style (X Consortium)","scancode:x11-xconsortium","scancode://x11-xconsortium","ICU License (ICU 1.8.1 and later)",,,,,,,,,,,,,,,,,,,,,,
"Sleepycat","osi:Sleepycat","Berkeley-Database","Sleepycat License","scancode:sleepycat","scancode://sleepycat","The Sleepycat License","Berkeley Database License","Sleepycat Software Product License","License :: OSI Approved :: Sleepycat License",,,,,,,,,,,,,,,,,,,,,,
"ibmpl","IPL 1.0","IPL-1.0","osi:IPL-1.0","scancode:ibmpl-1.0","scancode://ibmpl-1.0","IBM Public License 1.0","IBM Public License v1.0","IBM Public License, Version 1.0","License :: OSI Approved :: IBM Public License",,,,,,,,,,,,,,,,,,,,,,
"GPL1","GPL1.0","GPL 1.0","GPL-1.0","GPL-1.0-only","scancode:gpl-1.0","scancode://gpl-1.0","GNU General Public License 1.0","GNU General Public License Version 1","GNU General Public License v1.0 only",,,,,,,,,,,,,,,,,,,,,,
"SISSL","sun-issl","SISSL 1.1","osi:SISSL","scancode://sun-sissl-1.1","Sun Industry Standards Source License","Sun Industry Standards Source License 1.1","Sun Industry Standards Source License v1.1","Sun Industry Standards Source License Version 1.1","License :: OSI Approved :: Sun Industry Standards Source License (SISSL)",,,,,,,,,,,,,,,,,,,,,,
"Intel","intel-osl","osi:Intel","Intel License Agreement","Intel Open Source License","Intel BSD - Export Control","The Intel Open Source License","scancode:intel-bsd-export-control","scancode://intel-bsd-export-control","License :: OSI Approved :: Intel Open Source License",,,,,,,,,,,,,,,,,,,,,,
"EUPL 1.1","EUPL-1.1","eupl-1.1","osi:EUPL-1.1","scancode:eupl-1.1","scancode://eupl-1.1","European Union Public License 1.1","European Union Public Licence, v.1.1","European Union Public License, Version 1.1","License :: OSI Approved :: European Union Public Licence 1.1 (EUPL 1.1)",,,,,,,,,,,,,,,,,,,,,,
"ZPL 2.0","ZPL-2.0","Zope-2.0","osi:ZPL-2.0","scancode:zpl-2.0","scancode://zpl-2.0","Zope Public License 2.0","The Zope Public License, Version 2.0","Zope Public License (ZPL) Version 2.0","License :: OSI Approved :: Zope Public License",,,,,,,,,,,,,,,,,,,,,,
"Entessa","Entessa 1.0","osi:Entessa","Entessa License","scancode:entessa-1.0","Entessa Public License","scancode://entessa-1.0","Entessa Public License 1.0","Entessa Public License v1.0",,,,,,,,,,,,,,,,,,,,,,,
"VSL-1.0","osi:VSL-1.0","scancode:vsl-1.0","scancode://vsl-1.0","Vovida Software License 1.0","Vovida Software License v1.0","Vovida Software License, Version 1.0","The Vovida Software License, Version 1.0","License :: OSI Approved :: Vovida Software License 1.0",,,,,,,,,,,,,,,,,,,,,,,
"SPL 1.0","SPL-1.0","osi:SPL-1.0","scancode:spl-1.0","scancode://spl-1.0","Sun Public License 1.0","Sun Public License v1.0","Sun Public License, Version 1.0","License :: OSI Approved :: Sun Public License",,,,,,,,,,,,,,,,,,,,,,,
"CPAL 1.0","CPAL-1.0","cpal_1.0","osi:CPAL-1.0","scancode:cpal-1.0","scancode://cpal-1.0","Common Public Attribution License 1.0","Common Public Attribution License Version 1.0","Common Public Attribution License Version 1.0 (CPAL-1.0)",,,,,,,,,,,,,,,,,,,,,,,
"UPL","UPL 1.0","UPL-1.0","osi:UPL","upl-1.0","scancode:upl-1.0","scancode://upl-1.0","Universal Permissive License v1.0","The Universal Permissive License (UPL), Version 1.0",,,,,,,,,,,,,,,,,,,,,,,
"EPL 2.0","EPL-2.0","epl-2.0","eclipse-2.0","osi:EPL-2.0","scancode:epl-2.0","scancode://epl-2.0","Eclipse Public License 2.0","Eclipse Public License - v 2.0",,,,,,,,,,,,,,,,,,,,,,,
"LPPL 1.3c","LPPL-1.3c","lppl-1.3c","osi:LPPL-1.3c","scancode:lppl-1.3c","scancode://lppl-1.3c","LaTeX Project Public License 1.3c","LaTeX Project Public License v1.3c","LaTeX Project Public License, Version 1.3c",,,,,,,,,,,,,,,,,,,,,,,
"MPL 1.0","MPL-1.0","osi:MPL-1.0","scancode:mpl-1.0","scancode://mpl-1.0","Mozilla Public License 1.0","Mozilla Public License Version 1.0","Mozilla Public License, Version 1.0","License :: OSI Approved :: Mozilla Public License 1.0 (MPL)",,,,,,,,,,,,,,,,,,,,,,,
"nasa1.3","NASA 1.3","NASA-1.3","osi:NASA-1.3","NASA License 1.3","scancode:nasa-1.3","scancode://nasa-1.3","NASA Open Source Agreement 1.3","NASA Open Source Agreement, Version 1.3",,,,,,,,,,,,,,,,,,,,,,,
"CC-BY-SA 4.0","CC-BY-SA-4.0","cc-by-sa-4.0","scancode:cc-by-sa-4.0","scancode://cc-by-sa-4.0","Creative Commons BY-SA 4.0","Creative Commons Attribution Share-Alike 4.0","Creative Commons Attribution-ShareAlike 4.0 International","Creative Commons Attribution Share Alike 4.0 International",,,,,,,,,,,,,,,,,,,,,,,
"WTFPL","wtfpl","WTFPL 2.0","WTFPL-2.0","scancode:wtfpl-2.0","scancode://wtfpl-2.0","WTF Public License 2.0","Do What The F*ck You Want To Public License","Do What The Fuck You Want To Public License (WTFPL) 2",,,,,,,,,,,,,,,,,,,,,,,
"Xnet","osi:Xnet","X.Net License","scancode:xnet","Altera License","scancode://xnet","MIT License (X.Net)","The X.Net, Inc. License","License :: OSI Approved :: X.Net License",,,,,,,,,,,,,,,,,,,,,,,
"EPL 1.0","EPL-1.0","epl-1.0","eclipse-1.0","osi:EPL-1.0","scancode:epl-1.0","scancode://epl-1.0","Eclipse Public License 1.0","Eclipse Public License, Version 1.0",,,,,,,,,,,,,,,,,,,,,,,
"CATOSL-1.1","ca-tosl1.1","osi:CATOSL-1.1","scancode:ca-tosl-1.1","scancode://ca-tosl-1.1","CA Trusted Open Source License 1.1","Computer Associates Trusted Open Source License 1.1","Computer Associates Trusted Open Source License, Version 1.1","Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1)",,,,,,,,,,,,,,,,,,,,,,,
"ASL 1.0","Apache 1.0","Apache-1.0","Apache (v1.0)","Apache License 1.0","scancode:apache-1.0","scancode://apache-1.0","Apache Software License 1.0","Apache Software License, Version 1.0",,,,,,,,,,,,,,,,,,,,,,,
