,,,,,,,,,,,,,,,,,,,,,,,,
"CECILL-2.1","CeCILL 2.1","CeCILL-2.1","cecill-2.1","CeCILL License 2.1","scancode://cecill-2.1","CeCILL Free Software License Agreement v2.1","Cea Cnrs Inria Logiciel Libre License, Version 2.1","License :: OSI Approved :: CEA CNRS Inria Logiciel Libre License, version 2.1 (CeCILL-2.1)",,,,,,,,,,,,,,,,
"GPL1","GPL1.0","GPL 1.0","GPL-1.0","GPL-1.0-only","scancode://gpl-1.0","GNU General Public License Version 1","GNU General Public License v1.0 only",,,,,,,,,,,,,,,,,
"GPL2+","GPL2.0+","GPL-2.0+","GPL 2.0 or later","GPL-2.0-or-later","GPL (v2 or later)","scancode://gpl-2.0-plus","GNU General Public License v2.0 or later",,,,,,,,,,,,,,,,,
"ASL 1.0","Apache 1.0","Apache-1.0","Apache (v1.0)","Apache License 1.0","scancode://apache-1.0","Apache Software License 1.0","Apache Software License, Version 1.0",,,,,,,,,,,,,,,,,
"ASL 1.1","Apache 1.1","Apache-1.1","Apache (v1.1)","Apache License 1.1","scancode://apache-1.1","Apache Software License 1.1","Apache Software License, Version 1.1",,,,,,,,,,,,,,,,,
"ecl2","ECL 2.0","ECL-2.0","ecl-2.0","scancode://ecl-2.0","Educational Community License 2.0","Educational Community License v2.0","Educational Community License, Version 2.0",,,,,,,,,,,,,,,,,
"ISC","isc","ISC License","ISC license","isc-license","scancode://isc","ISC License (ISC)","License :: OSI Approved :: ISC License (ISCL)",,,,,,,,,,,,,,,,,
"AFL 3.0","AFL-3.0","afl-3.0","scancode://afl-3.0","Academic Free License 3.0","Academic Free License v3.0","Academic Free License, Version 3.0","License :: OSI Approved :: Academic Free License (AFL)",,,,,,,,,,,,,,,,,
"ICU","X11","ICU License","X11 License","scancode://x11","X11-Style (X Consortium)","scancode://x11-xconsortium","ICU License (ICU 1.8.1 and later)",,,,,,,,,,,,,,,,,
"Intel","intel-osl","Intel License Agreement","Intel Open Source License","Intel BSD - Export Control","The Intel Open Source License","scancode://intel-bsd-export-control","License :: OSI Approved :: Intel Open Source License",,,,,,,,,,,,,,,,,
"ZPL 2.0","ZPL-2.0","Zope-2.0","scancode://zpl-2.0","Zope Public License 2.0","The Zope Public License, Version 2.0","Zope Public License (ZPL) Version 2.0","License :: OSI Approved :: Zope Public License",,,,,,,,,,,,,,,,,
"EUPL 1.1","EUPL-1.1","eupl-1.1","scancode://eupl-1.1","European Union Public License 1.1","European Union Public Licence, v.1.1","European Union Public License, Version 1.1","License :: OSI Approved :: European Union Public Licence 1.1 (EUPL 1.1)",,,,,,,,,,,,,,,,,
"QPL 1.0","QPL-1.0","Q Public License","scancode://qpl-1.0","Q Public License 1.0","Q PUBLIC LICENSE version 1.0","The Q Public License Version (QPL-1.0)","License :: OSI Approved :: Qt Public License (QPL)",,,,,,,,,,,,,,,,,
"CPL","CPL 1.0","CPL-1.0","scancode://cpl-1.0","Common Public License 1.0","Common Public License Version 1.0","Common Public License, Version 1.0","License :: OSI Approved :: Common Public License",,,,,,,,,,,,,,,,,
