Nmap Public Source License Version 0.92 (NPSL)	LicenseRef-NPSL-0.94	https://nmap.org/npsl/npsl-annotated.html  https://svn.nmap.org/nmap/LICENSE	The "Proprietary software companies" text in the preamble is a field of use restriction.	note, DejaCode has 0.93 but calls it an exception. Neither that version nor this one is an exception to GPL, but the license is "based on" GPL. I did not check if what DejaCode has and this link are the same (they look like it), but the short name in DejaCode uses "exception" and that is wrong
OCLC Public Research License 2.0	OSLC-2.0	http://opensource.org/licenses/oclc2.php	Appears to limit the price at which a copy can be charged, not just simply prohibiting imposition of royalties.	
Open CASCADE Technology Public License	OCCT-exception-1.0	https://fedoraproject.org/wiki/Licensing/Open_CASCADE_Technology_Public_License		
Open Group Test Suite License	OGTSL	http://opensource.org/licenses/opengroup.php	Same flaws as Artistic 1.0	review w/Artistic
Open Motif Public End User License	LicenseRef-OpenMotif	http://www.opengroup.org/openmotif/license/	Commercial use restrictions	
Open Public License	OPL-1.0	https://fedoraproject.org/wiki/Licensing/Open_Public_License		
OSGi Specification License	LicenseRef-osgi-spec-2.0	http://www.osgi.org/Main/OSGiSpecificationLicense	Forbids modification	
Paul Hsieh Derivative License	LicenseRef-paul-hsieh-derivative	http://www.azillionmonkeys.com/qed/license-derivative.html		
Paul Hsieh Exposition License	LicenseRef-paul-hsieh-exposition	http://www.azillionmonkeys.com/qed/license-exposition.html		
Pine License	LicenseRef-pine	http://www.washington.edu/pine/overview/legal.html  https://enterprise.dejacode.com/licenses/public/pine/?_list_filters=q%3Dpine#license-text		broken link
qmail License	LicenseRef-qmail	http://cr.yp.to/qmail/dist.html	deprecated, qmail is now public domain	
Reciprocal Public License	RPL-1.0	https://opensource.org/licenses/rpl1.0		
Reciprocal Public License	RPL-1.5	https://opensource.org/licenses/RPL-1.5		
Ricoh Source Code Public License	RSCPL	http://opensource.org/licenses/ricohpl.php		
Scilab License (OLD)	LicenseRef-scilab-en-2005	https://fedoraproject.org/wiki/Licensing/Scilab_License_Old	Current versions of Scilab use the CeCILL license	
Server Side Public License v1 (SSPL)	SSPL-1.0	https://fedoraproject.org/wiki/Licensing/SSPL		
SGI Free Software License B 1.1 or older	SGI-B-1.0	http://oss.sgi.com/projects/FreeB/  https://enterprise.dejacode.com/licenses/public/sgi-fslb-1.0/?_list_filters=q%3Dsgi#license-text	Version 2.0 is MIT, free and GPL compat.	
SGI GLX Public License 1.0	LicenseRef-sgi-glx-1.0	https://fedoraproject.org/wiki/Licensing/GLX_Public_License	All GLX code now uses Free B 2.0	
Siren14 License Agreement	LicenseRef-Siren14	https://fedoraproject.org/wiki/Licensing/Siren14_Licensing_Agreement		
Spin Commercial License	LicenseRef-Spin	http://www.spinroot.com/spin/spin_license.html		
